CarID,Manufacturer,Model,Engine size,Features,Fuel_Type,Year_of_Manufacturing,Mileage,Price,DealerName,DealerCity,Latitude,Longitude,ServiceID,Date_of_Service,ServiceType,Cost_of_Service,AccidentID,Date_of_Accident,Description,Cost_of_Repair,Severity
C33554,Toyota,RAV4,2.4,Heated Seats,Hybrid,2020,21317,68597,"Proctor, Villarreal and Hurley",Gloucester,53.713263,0.738007,S100854,23/05/2024,Major Service,418,A50378,25/02/2025,Front-end collision,715,Major
C33554,Toyota,RAV4,2.4,Bluetooth,Hybrid,2020,21317,68597,"Proctor, Villarreal and Hurley",Gloucester,53.713263,0.738007,S100854,23/05/2024,Major Service,418,A50378,25/02/2025,Front-end collision,715,Major
C33554,Toyota,RAV4,2.4,Heated Seats,Hybrid,2020,21317,68597,"Proctor, Villarreal and Hurley",Gloucester,53.713263,0.738007,S100854,23/05/2024,Major Service,418,A50379,01/01/2023,Windshield damage,4914,Severe
C33554,Toyota,RAV4,2.4,Bluetooth,Hybrid,2020,21317,68597,"Proctor, Villarreal and Hurley",Gloucester,53.713263,0.738007,S100854,23/05/2024,Major Service,418,A50379,01/01/2023,Windshield damage,4914,Severe
C09428,Ford,Focus,1.8,Heated Seats,Petrol,2018,22500,35276,"Walker, Baxter and Daniel",Brighton,53.314723,-0.5895,,,,,A14186,05/12/2022,Minor fender bender,4469,Moderate
C09428,Ford,Focus,1.8,Bluetooth,Petrol,2018,22500,35276,"Walker, Baxter and Daniel",Brighton,53.314723,-0.5895,,,,,A14186,05/12/2022,Minor fender bender,4469,Moderate
C09428,Ford,Focus,1.8,Cruise Control,Petrol,2018,22500,35276,"Walker, Baxter and Daniel",Brighton,53.314723,-0.5895,,,,,A14186,05/12/2022,Minor fender bender,4469,Moderate
C09428,Ford,Focus,1.8,Heated Seats,Petrol,2018,22500,35276,"Walker, Baxter and Daniel",Brighton,53.314723,-0.5895,,,,,A14187,04/04/2023,Door dent from tight parking,3468,Severe
C09428,Ford,Focus,1.8,Bluetooth,Petrol,2018,22500,35276,"Walker, Baxter and Daniel",Brighton,53.314723,-0.5895,,,,,A14187,04/04/2023,Door dent from tight parking,3468,Severe
C09428,Ford,Focus,1.8,Cruise Control,Petrol,2018,22500,35276,"Walker, Baxter and Daniel",Brighton,53.314723,-0.5895,,,,,A14187,04/04/2023,Door dent from tight parking,3468,Severe
C00200,Ford,Mondeo,1.6,Heated Seats,Diesel,2013,79521,17370,Ingram-Mitchell,Durham,54.966148,-2.512489,,,,,A00295,14/12/2023,Front bumper scrape,2625,Moderate
C00200,Ford,Mondeo,1.6,Sunroof,Diesel,2013,79521,17370,Ingram-Mitchell,Durham,54.966148,-2.512489,,,,,A00295,14/12/2023,Front bumper scrape,2625,Moderate
C00200,Ford,Mondeo,1.6,Air Conditioning,Diesel,2013,79521,17370,Ingram-Mitchell,Durham,54.966148,-2.512489,,,,,A00295,14/12/2023,Front bumper scrape,2625,Moderate
C00200,Ford,Mondeo,1.6,Cruise Control,Diesel,2013,79521,17370,Ingram-Mitchell,Durham,54.966148,-2.512489,,,,,A00295,14/12/2023,Front bumper scrape,2625,Moderate
C12448,Toyota,Yaris,1.2,Bluetooth,Petrol,2003,159534,3213,Sandoval Group,Bradford,53.304466,-2.996212,,,,,A18787,09/05/2025,Scratched paint on rear bumper,1142,Moderate
C12448,Toyota,Yaris,1.2,Air Conditioning,Petrol,2003,159534,3213,Sandoval Group,Bradford,53.304466,-2.996212,,,,,A18787,09/05/2025,Scratched paint on rear bumper,1142,Moderate
C12448,Toyota,Yaris,1.2,Navigation,Petrol,2003,159534,3213,Sandoval Group,Bradford,53.304466,-2.996212,,,,,A18787,09/05/2025,Scratched paint on rear bumper,1142,Moderate
C12448,Toyota,Yaris,1.2,Heated Seats,Petrol,2003,159534,3213,Sandoval Group,Bradford,53.304466,-2.996212,,,,,A18787,09/05/2025,Scratched paint on rear bumper,1142,Moderate
C39490,Ford,Mondeo,1.4,Navigation,Diesel,2000,126511,4832,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,,,,,,,,,
C42725,Toyota,Prius,1.8,Cruise Control,Hybrid,2008,116195,12110,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S128315,21/02/2025,Air Filter Replacement,232,A64338,19/03/2025,Rear bumper collision,2365,Minor
C42725,Toyota,Prius,1.8,Heated Seats,Hybrid,2008,116195,12110,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S128315,21/02/2025,Air Filter Replacement,232,A64338,19/03/2025,Rear bumper collision,2365,Minor
C42725,Toyota,Prius,1.8,Navigation,Hybrid,2008,116195,12110,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S128315,21/02/2025,Air Filter Replacement,232,A64338,19/03/2025,Rear bumper collision,2365,Minor
