AccidentID,CarID,Date_of_Accident,Description,Cost_of_Repair,Severity
A50378,C33554,2025-02-25,Front-end collision,715.0,Major
A50379,C33554,2023-01-01,Windshield damage,4914.0,Severe
A14186,C09428,2022-12-05,Minor fender bender,4469.0,Moderate
A14187,C09428,2023-04-04,Door dent from tight parking,3468.0,Severe
A00295,C00200,2023-12-14,Front bumper scrape,2625.0,Moderate
A18787,C12448,2025-05-09,Scratched paint on rear bumper,1142.0,Moderate
A64338,C42725,2025-03-19,Rear bumper collision,2365.0,Minor
A64339,C42725,2025-03-13,Minor fender bender,3433.0,Severe
A16316,C10823,2021-02-18,Front-end collision,1675.0,Major
A16317,C10823,2021-05-30,Front-end collision,3067.0,Moderate
A06156,C04145,2022-10-23,Fender scratch from curb,2217.0,Moderate
A06157,C04145,2025-01-29,Rear quarter panel dent,3514.0,Minor
A64895,C43107,2023-02-19,Parking lot scrape,2135.0,Minor
A58169,C38696,2023-04-03,Side swipe from passing vehicle,3118.0,Moderate
A09255,C06189,2023-07-23,Side panel scratch,1425.0,Major
A09256,C06189,2022-01-24,Side swipe from passing vehicle,3348.0,Moderate
A02031,C01415,2023-07-28,Scratched paint on rear bumper,3895.0,Major
A02032,C01415,2022-03-24,Fender scratch from curb,2375.0,Severe
A27739,C18472,2025-02-20,Scratched paint on rear bumper,4916.0,Major
A27740,C18472,2024-10-28,Door dent from tight parking,649.0,Minor
A27741,C18472,2025-02-17,Front bumper scrape,3853.0,Major
A44011,C29283,2021-06-07,Rear quarter panel dent,824.0,Moderate
A22866,C15178,2023-12-06,Accident on slippery road,821.0,Severe
A22867,C15178,2024-08-06,Accident on slippery road,2745.0,Moderate
A51537,C34305,2021-01-08,Side mirror broken,3119.0,Major
A19033,C12610,2025-01-14,Accident on slippery road,2461.0,Major
A09141,C06114,2023-05-15,Rear-end hit at traffic light,1618.0,Severe
A23925,C15909,2023-11-24,Accident on slippery road,4280.0,Severe
A23926,C15909,2022-07-24,Front bumper scrape,1230.0,Major
A01188,C00822,2022-11-01,Rear quarter panel dent,989.0,Minor
A01189,C00822,2021-05-09,Rear-end hit at traffic light,3414.0,Minor
A01190,C00822,2025-03-18,Rear quarter panel dent,131.0,Minor
A20287,C13467,2024-03-25,Scratched paint on rear bumper,1319.0,Moderate
A39857,C26498,2021-03-03,Minor fender bender,2407.0,Moderate
A39858,C26498,2020-10-13,Rear quarter panel dent,2562.0,Major
A39859,C26498,2022-01-16,Tire puncture during accident,447.0,Moderate
A63392,C42112,2020-09-01,Rear bumper collision,2994.0,Minor
A63393,C42112,2023-02-20,Rear bumper collision,3100.0,Severe
A63394,C42112,2022-02-17,Tire puncture during accident,1608.0,Major
A45333,C30189,2020-11-11,Minor fender bender,4442.0,Major
A45334,C30189,2024-03-29,Rear quarter panel dent,1993.0,Severe
A55954,C37238,2024-01-14,Minor fender bender,3540.0,Moderate
A55955,C37238,2023-12-18,Accident on slippery road,2606.0,Severe
A55956,C37238,2025-01-02,Fender scratch from curb,2348.0,Moderate
A49725,C33110,2023-01-04,Parking lot scrape,2951.0,Minor
A49726,C33110,2024-09-06,Hood dent from minor crash,3352.0,Major
A54792,C36481,2022-08-25,Head-on collision,4987.0,Severe
A54793,C36481,2022-02-26,Windshield damage,2053.0,Severe
A54794,C36481,2024-06-29,Accident on slippery road,1055.0,Major
A36279,C24149,2024-11-30,Damage from pothole incident,3195.0,Major
A36280,C24149,2023-05-12,Door dent from tight parking,2954.0,Moderate
A05823,C03919,2025-04-17,Rear-end hit at traffic light,1818.0,Major
A05824,C03919,2022-10-14,Side mirror broken,3846.0,Moderate
A57828,C38479,2023-12-20,Scratched paint on rear bumper,684.0,Major
A63665,C42295,2021-10-18,Minor parking lot accident,4062.0,Major
A71591,C47610,2023-03-03,Door dent from tight parking,2055.0,Moderate
A71592,C47610,2021-04-24,Minor parking lot accident,3876.0,Severe
A16719,C11077,2023-02-01,Rear-end hit at traffic light,3057.0,Major
