car_id,manufacturer,model,engine_size,fuel_type,year_of_manufacturing,mileage,price,features,dealer_id
C33554,Toyota,RAV4,2.4,Hybrid,2020,21317,68597,"Bluetooth, Heated Seats",D00001
C09428,Ford,Focus,1.8,Petrol,2018,22500,35276,"Bluetooth, Cruise Control, Heated Seats",D00002
C00200,Ford,Mondeo,1.6,Diesel,2013,79521,17370,"Air Conditioning, Cruise Control, Heated Seats, Sunroof",D00003
C12448,Toyota,Yaris,1.2,Petrol,2003,159534,3213,"Air Conditioning, Bluetooth, Heated Seats, Navigation",D00004
C39490,Ford,Mondeo,1.4,Diesel,2000,126511,4832,Navigation,D00005
C42725,Toyota,Prius,1.8,Hybrid,2008,116195,12110,"Cruise Control, Heated Seats, Navigation",D00005
C10823,VW,Polo,2.0,Petrol,1997,187190,1948,"Bluetooth, Cruise Control",D00005
C49499,Toyota,RAV4,2.0,Hybrid,2004,111729,11887,"Air Conditioning, Navigation",D00006
C04145,VW,Golf,1.6,Petrol,2005,120820,6083,"Air Conditioning, Heated Seats",D00007
C36959,Toyota,Yaris,1.4,Petrol,2001,93427,5081,"Air Conditioning, Heated Seats, Navigation",D00008
C43107,Toyota,RAV4,2.0,Hybrid,1999,141271,6765,"Heated Seats, Sunroof",D00009
C38696,Ford,Mondeo,1.4,Diesel,1999,134793,4235,Navigation,D00010
C06189,VW,Passat,1.8,Diesel,1996,103099,5296,"Air Conditioning, Cruise Control, Navigation",D00011
C01415,VW,Golf,1.2,Petrol,1989,121692,1801,Sunroof,D00008
C18472,Toyota,Prius,1.0,Hybrid,2020,17010,38572,"Air Conditioning, Bluetooth, Cruise Control, Heated Seats",D00012
C29283,VW,Golf,2.0,Petrol,2017,47438,25244,Air Conditioning,D00013
C15178,Toyota,RAV4,2.2,Hybrid,2007,69317,20591,"Air Conditioning, Cruise Control, Heated Seats",D00014
C34305,Toyota,Prius,1.4,Hybrid,2013,63590,21651,Sunroof,D00006
C12610,VW,Passat,2.0,Diesel,2004,103927,9459,"Bluetooth, Cruise Control",D00015
C12145,Ford,Mondeo,1.8,Diesel,2001,222751,2589,"Bluetooth, Heated Seats, Navigation, Sunroof",D00003
