ServiceID,CarID,Date_of_Service,ServiceType,Cost_of_Service
S100854,C33554,2024-05-23,Major Service,418.0
S128315,C42725,2025-02-21,Air Filter Replacement,232.0
S32674,C10823,2022-12-09,Suspension Check,114.0
S32673,C10823,2022-06-01,Wheel Alignment,216.0
S12470,C04145,2021-02-18,Air Filter Replacement,290.0
S12469,C04145,2022-09-26,Air Filter Replacement,123.0
S12473,C04145,2020-10-12,Spark Plug Replacement,87.0
S110934,C36959,2025-08-20,Major Service,59.0
S129482,C43107,2022-07-30,Oil Change,257.0
S129484,C43107,2025-04-04,Suspension Check,102.0
S129483,C43107,2024-06-11,Brake Replacement,352.0
S116209,C38696,2020-09-03,Wheel Alignment,328.0
S116212,C38696,2023-04-16,Tire Replacement,496.0
S04234,C01415,2021-02-02,Wheel Alignment,479.0
S04233,C01415,2021-08-12,Tire Replacement,247.0
S55687,C18472,2024-04-07,Major Service,157.0
S55686,C18472,2025-06-23,Battery Replacement,283.0
S88098,C29283,2024-06-12,Brake Replacement,417.0
S88099,C29283,2025-04-14,Spark Plug Replacement,363.0
S45798,C15178,2024-10-30,Brake Replacement,293.0
S45800,C15178,2023-09-25,Tire Replacement,296.0
S38040,C12610,2022-05-28,Major Service,435.0
S38039,C12610,2022-04-03,Transmission Check,247.0
S38038,C12610,2024-09-20,Battery Replacement,379.0
S36630,C12145,2024-07-29,Transmission Check,106.0
S36629,C12145,2023-07-05,Wheel Alignment,169.0
S36631,C12145,2025-06-15,Spark Plug Replacement,68.0
S18437,C06114,2021-11-10,Air Filter Replacement,241.0
S18436,C06114,2022-10-19,Suspension Check,411.0
S18435,C06114,2023-03-26,Air Filter Replacement,198.0
S47954,C15909,2021-04-20,Oil Change,237.0
S47952,C15909,2020-10-26,Spark Plug Replacement,485.0
S02459,C00822,2024-01-01,Suspension Check,301.0
S45627,C15119,2023-08-23,Air Filter Replacement,490.0
S45630,C15119,2025-08-30,Brake Replacement,113.0
S79793,C26498,2023-02-25,Spark Plug Replacement,471.0
S79792,C26498,2020-11-23,Major Service,488.0
S109543,C36481,2025-04-05,Tire Replacement,394.0
S109545,C36481,2025-02-28,Transmission Check,148.0
S72668,C24149,2025-08-02,Major Service,117.0
S72667,C24149,2021-01-02,Air Filter Replacement,332.0
S72666,C24149,2022-11-27,Wheel Alignment,454.0
S115554,C38479,2025-03-26,Spark Plug Replacement,297.0
S115555,C38479,2024-11-12,Tire Replacement,157.0
S63572,C21124,2020-09-11,Clutch Replacement,490.0
S63573,C21124,2025-01-29,Major Service,180.0
S127022,C42295,2021-09-29,Clutch Replacement,400.0
S33394,C11077,2022-01-06,Clutch Replacement,318.0
S33393,C11077,2021-08-11,Brake Replacement,444.0
S66356,C22063,2022-06-10,Wheel Alignment,481.0
S66355,C22063,2021-10-21,Brake Replacement,182.0
S66358,C22063,2023-12-15,Coolant Flush,420.0
S28427,C09414,2021-11-01,Air Filter Replacement,250.0
S28428,C09414,2022-02-15,Oil Change,500.0
S115149,C38341,2020-09-22,Brake Replacement,405.0
S115150,C38341,2025-03-30,Spark Plug Replacement,120.0
S91020,C30264,2025-06-12,Coolant Flush,193.0
S91018,C30264,2020-11-21,Major Service,500.0
S123884,C41253,2024-04-08,Battery Replacement,55.0
S44226,C14645,2023-01-23,Major Service,324.0
S79296,C26336,2021-09-06,Wheel Alignment,429.0
S79295,C26336,2022-02-02,Clutch Replacement,468.0
S79294,C26336,2022-10-30,Major Service,484.0
S84553,C28103,2024-03-27,Suspension Check,458.0
S84555,C28103,2024-11-22,Suspension Check,406.0
S84554,C28103,2025-01-26,Major Service,147.0
S74407,C24713,2023-12-17,Clutch Replacement,314.0
S120199,C40041,2022-11-26,Brake Replacement,475.0
S120200,C40041,2024-03-09,Battery Replacement,79.0
S46083,C15268,2022-03-05,Major Service,440.0
S46084,C15268,2021-01-27,Clutch Replacement,272.0
S46085,C15268,2022-02-09,Spark Plug Replacement,410.0
S147482,C49147,2024-04-08,Transmission Check,414.0
S90231,C30002,2024-08-05,Battery Replacement,346.0
S137893,C45927,2024-02-20,Transmission Check,167.0
S137895,C45927,2023-03-29,Tire Replacement,407.0
S137894,C45927,2022-10-12,Oil Change,119.0
S51896,C17241,2021-12-20,Oil Change,364.0
S51898,C17241,2022-08-07,Major Service,243.0
S69052,C22950,2021-07-06,Oil Change,486.0
S69051,C22950,2022-06-22,Major Service,315.0
